dataset,model,variant,feature,importance
personality,Decision Tree,Overfit,cat__EVENT_ATTENDANCE_1_MODERATE,0.01397520444022091
personality,Decision Tree,Overfit,cat__EVENT_ATTENDANCE_2_FREQUENT,0.06707761804226471
personality,Decision Tree,Overfit,num__GOING_OUTSIDE,0.4509947582647606
personality,Decision Tree,Overfit,num__FRIEND_CIRCLE,0.2962035940865154
personality,Decision Tree,Overfit,num__POST_FREQUENCY,0.15686671090931387
personality,Random Forest,Optimal,cat__STAGE_FEAR_No,0.030726820629975223
personality,Random Forest,Optimal,cat__STAGE_FEAR_Yes,0.05358694438134098
personality,Random Forest,Optimal,cat__SOCIAL_DRAIN_No,0.013714301182724677
personality,Random Forest,Optimal,cat__SOCIAL_DRAIN_Yes,0.020347402818768814
personality,Random Forest,Optimal,cat__TIME_ALONE_0_LOW,0.011290365402745774
personality,Random Forest,Optimal,cat__TIME_ALONE_1_MEDIUM,0.004501419955193358
personality,Random Forest,Optimal,cat__TIME_ALONE_2_HIGH,0.06688963389768947
personality,Random Forest,Optimal,cat__EVENT_ATTENDANCE_0_RARE,0.19174507408499614
personality,Random Forest,Optimal,cat__EVENT_ATTENDANCE_1_MODERATE,0.01414473140269267
personality,Random Forest,Optimal,cat__EVENT_ATTENDANCE_2_FREQUENT,0.042953596299947876
personality,Random Forest,Optimal,num__GOING_OUTSIDE,0.26869347628746265
personality,Random Forest,Optimal,num__FRIEND_CIRCLE,0.1729394406030472
personality,Random Forest,Optimal,num__POST_FREQUENCY,0.10846679305341515
personality,Random Forest,Underfit,cat__STAGE_FEAR_No,0.03962374528111735
personality,Random Forest,Underfit,cat__STAGE_FEAR_Yes,0.06028989795277205
personality,Random Forest,Underfit,cat__SOCIAL_DRAIN_No,0.007355012116452005
personality,Random Forest,Underfit,cat__SOCIAL_DRAIN_Yes,0.01941073487011708
personality,Random Forest,Underfit,cat__TIME_ALONE_0_LOW,0.009577991131867475
personality,Random Forest,Underfit,cat__TIME_ALONE_1_MEDIUM,0.006736145428998448
personality,Random Forest,Underfit,cat__TIME_ALONE_2_HIGH,0.04831031698138189
personality,Random Forest,Underfit,cat__EVENT_ATTENDANCE_0_RARE,0.26710470984729956
personality,Random Forest,Underfit,cat__EVENT_ATTENDANCE_1_MODERATE,0.012782349241630804
personality,Random Forest,Underfit,cat__EVENT_ATTENDANCE_2_FREQUENT,0.04132756337413048
personality,Random Forest,Underfit,num__GOING_OUTSIDE,0.18469725675478996
personality,Random Forest,Underfit,num__FRIEND_CIRCLE,0.19364543580861696
personality,Random Forest,Underfit,num__POST_FREQUENCY,0.10913884121082608
personality,Random Forest,Overfit,cat__STAGE_FEAR_No,0.04983654320988246
personality,Random Forest,Overfit,cat__STAGE_FEAR_Yes,0.037783509541706305
personality,Random Forest,Overfit,cat__SOCIAL_DRAIN_No,0.016784541991181755
personality,Random Forest,Overfit,cat__SOCIAL_DRAIN_Yes,0.017654807306247657
personality,Random Forest,Overfit,cat__TIME_ALONE_0_LOW,0.014829829971242567
personality,Random Forest,Overfit,cat__TIME_ALONE_1_MEDIUM,0.003474538412596613
personality,Random Forest,Overfit,cat__TIME_ALONE_2_HIGH,0.05573401157567822
personality,Random Forest,Overfit,cat__EVENT_ATTENDANCE_0_RARE,0.174131898100709
personality,Random Forest,Overfit,cat__EVENT_ATTENDANCE_1_MODERATE,0.021826438783188937
personality,Random Forest,Overfit,cat__EVENT_ATTENDANCE_2_FREQUENT,0.06227498790856178
personality,Random Forest,Overfit,num__GOING_OUTSIDE,0.2588216151067523
personality,Random Forest,Overfit,num__FRIEND_CIRCLE,0.1619933098363491
personality,Random Forest,Overfit,num__POST_FREQUENCY,0.12485396825590336
occupation,XGBoost,Optimal,cat__EDUCATION_10th,0.0017645045882090926
occupation,XGBoost,Optimal,cat__EDUCATION_11th,0.004987283144146204
occupation,XGBoost,Optimal,cat__EDUCATION_12th,0.0010889972327277064
occupation,XGBoost,Optimal,cat__EDUCATION_1st-4th,0.0007221688865683973
occupation,XGBoost,Optimal,cat__EDUCATION_5th-6th,0.0
