dataset,feature,model,variant,split,random,majority,accuracy,duration
personality,EVENT_ATTENDANCE,Random Forest,Optimal,Train,0.36990024,0.4846,0.489,4.142338037490845
personality,EVENT_ATTENDANCE,Random Forest,Optimal,Test,0.36990024,0.4846,0.456,1.108945608139038
personality,EVENT_ATTENDANCE,Random Forest,Underfit,Train,0.36990024,0.4846,0.508,3.089261293411255
personality,EVENT_ATTENDANCE,Random Forest,Underfit,Test,0.36990024,0.4846,0.51,0.820807933807373
personality,EVENT_ATTENDANCE,Random Forest,Overfit,Train,0.36990024,0.4846,0.50975,7.509461402893066
personality,EVENT_ATTENDANCE,Random Forest,Overfit,Test,0.36990024,0.4846,0.471,2.242323160171509
occupation,EDUCATION,XGBoost,Optimal,Train,0.187362,0.3148,0.29975,5.89877986907959
occupation,EDUCATION,XGBoost,Optimal,Test,0.187362,0.3148,0.273,1.1836512088775635
occupation,EDUCATION,XGBoost,Underfit,Train,0.187362,0.3148,0.28025,4.105144023895264
occupation,EDUCATION,XGBoost,Underfit,Test,0.187362,0.3148,0.325,1.1557278633117676
occupation,EDUCATION,XGBoost,Overfit,Train,0.187362,0.3148,0.2175,4.4354870319366455
occupation,EDUCATION,XGBoost,Overfit,Test,0.187362,0.3148,0.186,1.2387363910675049
occupation,EDUCATION,Decision Tree,Optimal,Train,0.187362,0.3148,0.2725,3.406536102294922
occupation,EDUCATION,Decision Tree,Optimal,Test,0.187362,0.3148,0.31,0.8811452388763428
occupation,EDUCATION,Decision Tree,Underfit,Train,0.187362,0.3148,0.22075,3.4106626510620117
occupation,EDUCATION,Decision Tree,Underfit,Test,0.187362,0.3148,0.246,0.8710451126098633
occupation,EDUCATION,Decision Tree,Overfit,Train,0.187362,0.3148,0.252,3.397670269012451
occupation,EDUCATION,Decision Tree,Overfit,Test,0.187362,0.3148,0.275,0.8694489002227783
occupation,EDUCATION,Random Forest,Optimal,Train,0.187362,0.3148,0.334,7.411965608596802
occupation,EDUCATION,Random Forest,Optimal,Test,0.187362,0.3148,0.225,2.2587015628814697
occupation,EDUCATION,Random Forest,Underfit,Train,0.187362,0.3148,0.25475,4.727071762084961
occupation,EDUCATION,Random Forest,Underfit,Test,0.187362,0.3148,0.212,1.2308690547943115
occupation,EDUCATION,Random Forest,Overfit,Train,0.187362,0.3148,0.36875,14.219620943069458
occupation,EDUCATION,Random Forest,Overfit,Test,0.187362,0.3148,0.246,3.8612096309661865
