Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline,Successful_Attack,Improvement_Over_Baseline
insurance,HAS_CHILDREN,XGBoost,Overfitted,Test,0.4626865671641791,0.5,0.5710014947683109,False,0.810307103227319
insurance,HAS_CHILDREN,DecisionTree,Underfitted,Train,0.4364485981308411,0.5,0.5710014947683109,False,0.7643563145275726
insurance,HAS_CHILDREN,DecisionTree,Underfitted,Test,0.3992537313432835,0.5,0.5710014947683109,False,0.6992166132687349
insurance,HAS_CHILDREN,DecisionTree,Optimal,Train,0.4429906542056074,0.5,0.5710014947683109,False,0.775813475559035
insurance,HAS_CHILDREN,DecisionTree,Optimal,Test,0.458955223880597,0.5,0.5710014947683109,False,0.8037723685238728
insurance,HAS_CHILDREN,DecisionTree,Overfitted,Train,0.4214953271028037,0.5,0.5710014947683109,False,0.7381685178842295
insurance,HAS_CHILDREN,DecisionTree,Overfitted,Test,0.3880597014925373,0.5,0.5710014947683109,False,0.6796124091583966
insurance,HAS_CHILDREN,RandomForest,Underfitted,Train,0.5420560747663551,0.5,0.5710014947683109,False,0.9493076283211822
insurance,HAS_CHILDREN,RandomForest,Underfitted,Test,0.5708955223880597,0.5,0.5710014947683109,False,0.9998144096272565
insurance,HAS_CHILDREN,RandomForest,Optimal,Train,0.6383177570093458,0.5,0.5710014947683109,True,1.1178915692127025
insurance,HAS_CHILDREN,RandomForest,Optimal,Test,0.5671641791044776,0.5,0.5710014947683109,False,0.9932796749238103
insurance,HAS_CHILDREN,RandomForest,Overfitted,Train,0.6831775700934579,0.5,0.5710014947683109,True,1.1964549591427314
insurance,HAS_CHILDREN,RandomForest,Overfitted,Test,0.5111940298507462,0.5,0.5710014947683109,False,0.8952586543721185
insurance,HAS_CHILDREN,NeuralNetwork,Underfitted,Train,0.569158878504673,0.5,0.5710014947683109,False,0.9967730097372415
insurance,HAS_CHILDREN,NeuralNetwork,Underfitted,Test,0.5522388059701493,0.5,0.5710014947683109,False,0.9671407361100259
insurance,HAS_CHILDREN,NeuralNetwork,Optimal,Train,0.5588785046728972,0.5,0.5710014947683109,False,0.9787688995449432
insurance,HAS_CHILDREN,NeuralNetwork,Optimal,Test,0.503731343283582,0.5,0.5710014947683109,False,0.8821891849652262
insurance,HAS_CHILDREN,NeuralNetwork,Overfitted,Train,0.5532710280373832,0.5,0.5710014947683109,False,0.9689484758036895
insurance,HAS_CHILDREN,NeuralNetwork,Overfitted,Test,0.5149253731343284,0.5,0.5710014947683109,False,0.9017933890755647
personality,Stage_fear,XGBoost,Underfitted,Train,0.76,0.5,0.5518,True,1.377310619789779
personality,Stage_fear,XGBoost,Underfitted,Test,0.723,0.5,0.5518,True,1.3102573396158028
personality,Stage_fear,XGBoost,Optimal,Train,0.74975,0.5,0.5518,True,1.3587350489307721
personality,Stage_fear,XGBoost,Optimal,Test,0.72,0.5,0.5518,True,1.3048205871692642
personality,Stage_fear,XGBoost,Overfitted,Train,0.713,0.5,0.5518,True,1.2921348314606742
personality,Stage_fear,XGBoost,Overfitted,Test,0.682,0.5,0.5518,True,1.2359550561797754
personality,Stage_fear,DecisionTree,Underfitted,Train,0.4545,0.5,0.5518,False,0.8236679956505981
personality,Stage_fear,DecisionTree,Underfitted,Test,0.423,0.5,0.5518,False,0.7665820949619427
personality,Stage_fear,DecisionTree,Optimal,Train,0.4565,0.5,0.5518,False,0.8272924972816239
personality,Stage_fear,DecisionTree,Optimal,Test,0.436,0.5,0.5518,False,0.7901413555636101
personality,Stage_fear,DecisionTree,Overfitted,Train,0.45475,0.5,0.5518,False,0.8241210583544764
personality,Stage_fear,DecisionTree,Overfitted,Test,0.427,0.5,0.5518,False,0.7738310982239942
personality,Stage_fear,RandomForest,Underfitted,Train,0.64175,0.5,0.5518,True,1.1630119608553826
personality,Stage_fear,RandomForest,Underfitted,Test,0.571,0.5,0.5518,True,1.034795215657847
personality,Stage_fear,RandomForest,Optimal,Train,0.6265,0.5,0.5518,True,1.1353751359188111
